year,team,is_top_3,historical_top_3_finishes,matches_played,avg_scored,avg_conceded,win_percentage
1958,Sweden,1,0,33.0,2.6363636363636362,1.7272727272727273,0.5151515151515151
1958,Brazil,1,1,53.0,2.1132075471698113,0.9811320754716981,0.6037735849056604
1958,Mexico,0,0,14.0,2.2857142857142856,1.2142857142857142,0.5
1958,Paraguay,0,0,35.0,1.542857142857143,1.8857142857142857,0.2857142857142857
1958,Germany,0,1,34.0,2.176470588235294,1.8529411764705883,0.5294117647058824
1962,Argentina,0,0,43.0,2.0232558139534884,1.4186046511627908,0.5581395348837209
1962,Brazil,1,2,52.0,2.6538461538461537,1.0,0.7884615384615384
1962,Chile,1,0,30.0,1.6,2.3333333333333335,0.3
1962,Colombia,0,0,7.0,1.0,1.0,0.2857142857142857
1962,Czechoslovakia,1,0,34.0,2.2941176470588234,1.2941176470588236,0.5588235294117647
1962,England,0,0,42.0,2.5476190476190474,1.5476190476190477,0.42857142857142855
1962,Germany,0,1,35.0,2.2285714285714286,1.3428571428571427,0.5142857142857142
1962,Russia,0,0,32.0,1.875,0.90625,0.71875
1962,Uruguay,0,1,30.0,1.8,1.7333333333333334,0.43333333333333335
1962,Bulgaria,0,0,25.0,1.16,1.56,0.48
1962,Mexico,0,0,29.0,1.5172413793103448,1.5172413793103448,0.41379310344827586
1962,Italy,0,1,19.0,2.1052631578947367,1.5263157894736843,0.3684210526315789
1966,England,1,0,44.0,2.3636363636363638,1.3409090909090908,0.5681818181818182
1966,Brazil,0,3,49.0,2.2244897959183674,1.163265306122449,0.6326530612244898
1966,Germany,1,1,29.0,2.2413793103448274,1.0689655172413792,0.5517241379310345
1966,North Korea,0,0,11.0,4.090909090909091,0.36363636363636365,0.9090909090909091
1966,Argentina,0,0,34.0,1.9705882352941178,1.0294117647058822,0.5294117647058824
1966,Chile,0,0,31.0,1.2903225806451613,1.2580645161290323,0.3548387096774194
1966,France,0,0,31.0,1.4516129032258065,1.3548387096774193,0.3548387096774194
1966,Hungary,0,1,38.0,1.8421052631578947,1.1842105263157894,0.5263157894736842
1966,Spain,0,0,21.0,1.5238095238095237,1.1904761904761905,0.42857142857142855
